YearsExperience,Salary,StressLevel,PerformanceRating,WorkLifeBalance
1,45000,3,75,8
2,48000,3,76,8
3,52000,4,78,7
4,58000,4,80,7
5,65000,5,82,6
6,72000,5,84,6
7,80000,6,86,5
8,90000,6,88,5
9,105000,7,90,4
10,120000,7,92,4
1,42000,4,70,7
2,44000,4,72,7
3,48000,5,74,6
4,52000,5,76,6
5,60000,6,78,5
6,68000,6,80,5
7,75000,7,82,4
8,85000,7,84,4
9,95000,8,86,3
10,110000,8,88,3
1,40000,5,65,6
2,42000,5,67,6
3,45000,6,69,5
4,50000,6,71,5
5,55000,7,73,4
6,62000,7,75,4
7,70000,8,77,3
8,80000,8,79,3
9,90000,9,81,2
10,100000,9,83,2
12,140000,5,95,7
15,160000,6,97,6
20,200000,7,99,5
5,62000,4,85,9
7,82000,5,87,8
8,92000,6,89,7
10,115000,7,91,6
