Rooms,DistanceToCenter,PupilTeacherRatio,Price
6.575,4.09,15.3,24.0
6.421,4.96,17.8,21.6
7.185,4.96,17.8,34.7
6.998,6.06,18.7,33.4
7.147,6.06,18.7,36.2
6.43,6.06,18.7,28.7
6.012,5.56,15.2,22.9
6.172,5.95,15.2,27.1
5.631,6.08,15.2,16.5
6.004,6.59,15.2,18.9
6.377,6.34,15.2,15.0
6.009,6.22,15.2,18.9
5.889,5.45,15.2,21.7
5.949,5.03,21.0,20.4
6.096,4.46,21.0,18.2
5.834,4.49,21.0,19.9
5.935,4.49,21.0,23.1
5.85,4.25,21.0,17.5
5.888,3.79,21.0,20.2
5.57,3.79,21.0,18.2
5.965,3.79,21.0,13.6
5.955,3.79,21.0,19.6
6.142,3.97,21.0,15.2
5.813,4.03,21.0,14.5
5.924,4.39,21.0,15.6
6.759,4.45,21.0,13.9
6.108,4.45,21.0,16.6
6.229,4.45,21.0,14.8
6.072,4.45,21.0,18.4
6.297,4.23,21.0,21.0
5.713,4.23,21.0,12.7
6.03,4.17,21.0,14.5
5.92,4.17,21.0,13.2
5.155,3.49,21.0,13.1
6.096,3.49,21.0,13.5
5.933,3.37,21.0,18.9
5.841,3.37,21.0,20.0
6.00,3.37,21.0,21.0
6.593,3.37,21.0,24.7
7.024,3.16,21.0,30.8
7.412,3.16,21.0,34.9
6.727,5.1,17.9,26.6
6.121,5.1,17.9,25.3
6.211,5.1,17.9,24.7
6.069,5.78,17.9,21.2
5.957,5.78,17.9,19.3
5.701,5.78,17.9,20.0
5.956,5.78,17.9,16.6
5.304,5.78,17.9,14.4
5.856,6.06,17.9,19.4
5.966,6.06,17.9,19.7
6.232,6.06,17.9,20.5
6.175,6.06,17.9,25.0
6.348,6.06,17.9,23.2
6.117,6.06,17.9,18.6
5.9,6.06,17.9,17.4
6.495,6.06,17.9,15.6
6.31,4.32,18.7,11.8
6.208,4.32,18.7,14.9
6.405,4.32,18.7,12.6
6.442,4.32,18.7,13.8
6.249,4.32,18.7,15.6
6.625,4.32,18.7,13.4
6.127,4.32,18.7,15.6
6.398,3.37,18.7,14.4
