Date,Open,High,Low,Close,Volume
2023-01-02,135.83,137.15,134.35,136.76,120305000
2023-01-03,136.28,137.98,135.02,137.45,110234000
2023-01-04,137.50,138.90,136.70,138.12,105678000
2023-01-05,138.20,139.50,137.10,139.00,112345000
2023-01-06,139.10,140.80,138.50,140.55,115678000
2023-01-09,140.70,142.10,139.60,141.85,118234000
2023-01-10,141.60,142.90,140.40,142.30,109876000
2023-01-11,142.20,143.50,141.10,143.05,111234000
2023-01-12,143.00,144.40,142.00,144.10,113450000
2023-01-13,144.30,145.60,143.50,145.20,117800000
2023-01-16,145.10,146.30,144.00,145.90,108900000
2023-01-17,145.90,147.10,145.00,146.80,112300000
2023-01-18,146.70,147.90,145.80,147.50,109500000
2023-01-19,147.40,148.60,146.60,148.20,107300000
2023-01-20,148.10,149.50,147.20,149.10,115000000
2023-01-23,149.20,150.40,148.30,150.00,118900000
2023-01-24,149.80,151.00,149.00,150.70,119500000
2023-01-25,150.60,151.80,149.80,151.40,121000000
2023-01-26,151.20,152.40,150.30,152.10,123400000
2023-01-27,152.00,153.20,151.10,152.80,122000000
2023-01-30,152.50,153.70,151.60,153.30,119800000
2023-01-31,153.10,154.30,152.20,153.90,118600000
2023-02-01,153.80,155.00,152.90,154.70,121300000
2023-02-02,154.50,155.70,153.60,155.40,122500000
2023-02-03,155.20,156.50,154.30,156.10,124800000
2023-02-06,156.00,157.20,155.10,156.80,120600000
2023-02-07,156.70,157.90,155.80,157.50,119900000
2023-02-08,157.30,158.50,156.40,158.10,118700000
2023-02-09,158.00,159.20,157.10,158.80,117500000
2023-02-10,158.70,159.90,157.80,159.40,116800000
2023-02-13,159.20,160.40,158.30,160.10,118300000
