BatchID,Machine,Operator,Defects,ProductionTime,PassRate
B001,M1,John,2,360,0.98
B002,M2,Alice,0,355,1.00
B003,M1,John,1,362,0.99
B004,M3,Bob,3,370,0.97
B005,M2,Alice,0,358,1.00
B006,M1,John,1,361,0.99
B007,M3,Bob,4,372,0.96
B008,M2,Alice,0,356,1.00
B009,M1,John,2,363,0.98
B010,M3,Bob,5,375,0.95
B011,M2,Alice,1,357,0.99
B012,M1,John,0,359,1.00
B013,M3,Bob,3,371,0.97
B014,M2,Alice,0,354,1.00
B015,M1,John,1,360,0.99
B016,M3,Bob,4,373,0.96
B017,M2,Alice,0,356,1.00
B018,M1,John,2,362,0.98
B019,M3,Bob,3,374,0.97
B020,M2,Alice,0,355,1.00
B021,M1,John,1,361,0.99
B022,M3,Bob,4,376,0.96
B023,M2,Alice,0,357,1.00
B024,M1,John,2,364,0.98
B025,M3,Bob,3,372,0.97
B026,M2,Alice,0,356,1.00
B027,M1,John,1,359,0.99
B028,M3,Bob,5,378,0.95
B029,M2,Alice,0,354,1.00
B030,M1,John,2,363,0.98
